code,cause
0,success
1,"unhandled error, Python's own"
2,"invalid command line, the argument parser's own"
3,a manifest is missing or cannot be read
4,the pinned model file is not shaped like USDM v4
5,the requested class is not in the model
6,not running from inside the repo
7,the sdg package is not installed
8,a pinned file has not been downloaded
9,a pinned file on disk does not match its manifest entry
10,a file under inputs/ that no manifest records
11,a download failed
12,a downloaded file does not match its manifest entry
13,a file on disk cannot be read
14,a stated figure has drifted from the pinned files
15,src/sdgtools/README.md is stale or missing
16,the validation inventory is stale or missing
17,"a header block is missing, incomplete, out of order, or has a bad Date"
18,"a check's markers, id or first sentence are missing or wrong, or its id is a duplicate"
19,a Python file could not be parsed
20,no files found to work on
21,ruff or mypy reported a problem
22,a tool could not be run at all
23,the requested section was not found in the PDF
24,section mode used on a PDF that has no bookmarks
25,the named sheet does not exist in the workbook
26,no workbook under inputs/ matches the name given
27,the .env file has not been created
28,.env has no Anthropic API key
29,the Claude API rejected the key
30,the Claude API could not be reached
31,the list of lookup documents is missing or wrongly shaped
32,the list of lookup documents names a file no manifest records
33,a header's exit codes disagree with the repo-wide table
34,a header does not list a code its main() returns
35,a pinned file has no document heading in the sources map
36,the sources map names a location no manifest records
37,.env has no Neo4j connection settings
38,Neo4j could not be reached
39,Neo4j rejected the login
40,the running Neo4j is not the pinned version
41,the Claude API answered with an error
42,a pinned file is not shaped the way a measurement expects
43,the Claude API refused the key access to what was asked
44,the Neo4j address in .env is not a valid address
45,a hand-kept column of the validation inventory breaks its rules
46,the named header row is past the end of the sheet
47,a test file's name has no aspect of quality or holds a check of another aspect
